ID,Name,Stoichiometry,Enzyme,Rate law,Rate parameters,Type
Transcription_TU_010,Transcription (MG_019 - MG_021),1219 ATP + 612 CTP + 483 GTP + 1304 UTP + 1 H2O -> 1 TU_010 + 3618 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_010*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_010 = 0.004266,transcription
Transcription_TU_011,Transcription (MG_022 - MG_024),790 ATP + 436 CTP + 301 GTP + 887 UTP + 1 H2O -> 1 TU_011 + 2414 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_011*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_011 = 0.002853,transcription
Transcription_TU_012,Transcription (MG_025),313 ATP + 132 CTP + 129 GTP + 323 UTP + 1 H2O -> 1 TU_012 + 897 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_012*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_012 = 0.002632,transcription
Transcription_TU_013,Transcription (MG_026 - MG_028),537 ATP + 263 CTP + 210 GTP + 592 UTP + 1 H2O -> 1 TU_013 + 1602 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_013*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_013 = 0.003262,transcription
Transcription_TU_014,Transcription (MG_029 - MG_031),1778 ATP + 901 CTP + 806 GTP + 2087 UTP + 1 H2O -> 1 TU_014 + 5572 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_014*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_014 = 0.002701,transcription
Transcription_TU_015,Transcription (MG_032),644 ATP + 338 CTP + 294 GTP + 725 UTP + 1 H2O -> 1 TU_015 + 2001 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_015*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_015 = 0.002632,transcription
Transcription_TU_016,Transcription (MG_033),285 ATP + 140 CTP + 128 GTP + 224 UTP + 1 H2O -> 1 TU_016 + 777 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_016*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_016 = 0.001541,transcription
Transcription_TU_017,Transcription (MG_034),194 ATP + 106 CTP + 104 GTP + 238 UTP + 1 H2O -> 1 TU_017 + 642 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_017*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_017 = 0.002243,transcription
Transcription_TU_018,Transcription (MG_035),418 ATP + 209 CTP + 156 GTP + 462 UTP + 1 H2O -> 1 TU_018 + 1245 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_018*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_018 = 0.006439,transcription
Transcription_TU_019,Transcription (MG_036),529 ATP + 269 CTP + 230 GTP + 625 UTP + 1 H2O -> 1 TU_019 + 1653 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_019*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_019 = 0.003632,transcription
Transcription_TU_020,Transcription (MG_037),457 ATP + 232 CTP + 178 GTP + 486 UTP + 1 H2O -> 1 TU_020 + 1353 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_020*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_020 = 0.002632,transcription
Transcription_TU_021,Transcription (MG_038),455 ATP + 278 CTP + 237 GTP + 557 UTP + 1 H2O -> 1 TU_021 + 1527 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_021*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_021 = 0.001648,transcription
Transcription_TU_022,Transcription (MG_039),356 ATP + 186 CTP + 170 GTP + 443 UTP + 1 H2O -> 1 TU_022 + 1155 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_022*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_022 = 0.002984,transcription
Transcription_TU_023,Transcription (MG_040),571 ATP + 322 CTP + 256 GTP + 627 UTP + 1 H2O -> 1 TU_023 + 1776 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_023*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_023 = 0.002632,transcription
Transcription_TU_024,Transcription (MG_041),79 ATP + 50 CTP + 39 GTP + 99 UTP + 1 H2O -> 1 TU_024 + 267 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_024*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_024 = 0.002632,transcription
Transcription_TU_025,Transcription (MG_042 - MG_044),1178 ATP + 537 CTP + 470 GTP + 1195 UTP + 1 H2O -> 1 TU_025 + 3380 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_025*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_025 = 0.002275,transcription
Transcription_TU_026,Transcription (MG_045),461 ATP + 252 CTP + 200 GTP + 536 UTP + 1 H2O -> 1 TU_026 + 1449 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_026*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_026 = 0.002708,transcription
Transcription_TU_027,Transcription (MG_046 - MG_047),703 ATP + 375 CTP + 298 GTP + 707 UTP + 1 H2O -> 1 TU_027 + 2083 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_027*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_027 = 0.004091,transcription
Transcription_TU_028,Transcription (MG_048),362 ATP + 244 CTP + 201 GTP + 534 UTP + 1 H2O -> 1 TU_028 + 1341 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_028*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_028 = 0.004147,transcription
Transcription_TU_029,Transcription (MG_049 - MG_051),845 ATP + 499 CTP + 339 GTP + 961 UTP + 1 H2O -> 1 TU_029 + 2644 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_029*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_029 = 0.000924,transcription
Transcription_TU_030,Transcription (MG_052 - MG_053),688 ATP + 357 CTP + 281 GTP + 719 UTP + 1 H2O -> 1 TU_030 + 2045 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_030*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_030 = 0.002108,transcription
Transcription_TU_031,"Transcription (MG_054, MG_055, MG_473)",443 ATP + 254 CTP + 197 GTP + 585 UTP + 1 H2O -> 1 TU_031 + 1479 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_031*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_031 = 0.003144,transcription
Transcription_TU_032,"Transcription (MG_056, MG_057, MG_474)",585 ATP + 259 CTP + 211 GTP + 667 UTP + 1 H2O -> 1 TU_032 + 1722 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_032*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_032 = 0.002548,transcription
Transcription_TU_033,Transcription (MG_058),319 ATP + 183 CTP + 141 GTP + 356 UTP + 1 H2O -> 1 TU_033 + 999 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_033*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_033 = 0.002632,transcription
Transcription_TU_034,Transcription (MG_059),138 ATP + 67 CTP + 56 GTP + 177 UTP + 1 H2O -> 1 TU_034 + 438 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_034*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_034 = 0.002122,transcription
Transcription_TU_035,Transcription (MG_060),317 ATP + 143 CTP + 101 GTP + 333 UTP + 1 H2O -> 1 TU_035 + 894 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_035*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_035 = 0.002632,transcription
Transcription_TU_036,Transcription (MG_061),617 ATP + 312 CTP + 256 GTP + 519 UTP + 1 H2O -> 1 TU_036 + 1704 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_036*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_036 = 0.002632,transcription
Transcription_MG475,Transcription (MG475),21 ATP + 27 CTP + 23 GTP + 18 UTP + 1 H2O -> 1 MG475 + 89 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_MG475*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_MG475 = 0.000278,transcription
Transcription_TU_038,Transcription (MG_062),717 ATP + 370 CTP + 305 GTP + 651 UTP + 1 H2O -> 1 TU_038 + 2043 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_038*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_038 = 0.002201,transcription
Transcription_TU_039,Transcription (MG_063),314 ATP + 142 CTP + 117 GTP + 339 UTP + 1 H2O -> 1 TU_039 + 912 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_039*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_039 = 0.003322,transcription
Transcription_TU_040,Transcription (MG_064 - MG_065),1819 ATP + 826 CTP + 787 GTP + 1964 UTP + 1 H2O -> 1 TU_040 + 5396 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_040*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_040 = 0.002632,transcription
Transcription_TU_041,Transcription (MG_066),631 ATP + 347 CTP + 293 GTP + 676 UTP + 1 H2O -> 1 TU_041 + 1947 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_041*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_041 = 0.003322,transcription
Transcription_TU_042,Transcription (MG_067 - MG_068),994 ATP + 447 CTP + 466 GTP + 1092 UTP + 1 H2O -> 1 TU_042 + 2999 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_042*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_042 = 0.002632,transcription
Transcription_TU_043,Transcription (MG_069),908 ATP + 534 CTP + 443 GTP + 842 UTP + 1 H2O -> 1 TU_043 + 2727 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_043*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_043 = 0.002161,transcription
Transcription_TU_044,Transcription (MG_070),238 ATP + 137 CTP + 155 GTP + 325 UTP + 1 H2O -> 1 TU_044 + 855 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_044*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_044 = 0.002647,transcription
Transcription_TU_045,Transcription (MG_071),920 ATP + 509 CTP + 376 GTP + 820 UTP + 1 H2O -> 1 TU_045 + 2625 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_045*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_045 = 0.000653,transcription
Transcription_TU_046,Transcription (MG_072),721 ATP + 494 CTP + 372 GTP + 834 UTP + 1 H2O -> 1 TU_046 + 2421 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_046*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_046 = 0.004465,transcription
Transcription_TU_047,Transcription (MG_073),594 ATP + 348 CTP + 323 GTP + 706 UTP + 1 H2O -> 1 TU_047 + 1971 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_047*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_047 = 0.002632,transcription
Transcription_TU_048,Transcription (MG_074),166 ATP + 62 CTP + 56 GTP + 130 UTP + 1 H2O -> 1 TU_048 + 414 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_048*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_048 = 0.002632,transcription
Transcription_TU_049,Transcription (MG_075),1029 ATP + 448 CTP + 501 GTP + 1097 UTP + 1 H2O -> 1 TU_049 + 3075 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_049*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_049 = 0.002632,transcription
Transcription_TU_050,Transcription (MG_076),164 ATP + 75 CTP + 47 GTP + 131 UTP + 1 H2O -> 1 TU_050 + 417 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_050*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_050 = 0.002632,transcription
Transcription_TU_051,Transcription (MG_077 - MG_080),1973 ATP + 1045 CTP + 997 GTP + 2088 UTP + 1 H2O -> 1 TU_051 + 6103 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_051*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_051 = 0.003424,transcription
